Location,Total_word_count
AK_Anchorage,1257897.0
AK_Homer,234523.0
AK_Kenai,417225.0
AK_Palmer,231386.0
AK_Petersburg,83206.0
AK_Sitka,258949.0
AK_Yakutat,155766.0
AL_Athens,257037.0
AL_Auburn,259253.0
AL_Bessemer,251674.0
AL_Birmingham,706248.0
AL_Chickasaw,53210.0
AL_Citronelle,136947.0
AL_Clanton,142384.0
AL_Decatur,392488.0
AL_Dothan,281968.0
AL_Enterprise,163518.0
AL_Eufaula,142137.0
AL_Fairhope,291452.0
AL_Foley,233044.0
AL_Fultondale,44697.0
AL_Guntersville,206174.0
AL_Hartselle,173985.0
AL_Huntsville,553574.0
AL_Lincoln,75953.0
AL_Madison,291821.0
AL_Mobile,408965.0
AL_Monroeville,198254.0
AL_MountainBrook,204662.0
AL_Oneonta,126795.0
AL_Opelika,437865.0
AL_Opp,141881.0
AL_Prattville,177199.0
AL_RainbowCity,50267.0
AL_Roanoke,18682.0
AL_Scottsboro,137123.0
AL_Southside,172500.0
AL_Talladega,13487.0
AL_Trussville,239829.0
AL_Valley,141291.0
AL_VestaviaHills,192935.0
AR_Bentonville,147365.0
AR_Bryant,165263.0
AR_CherokeeVillage,23426.0
AR_Clarksville,107554.0
AR_Conway,291100.0
AR_Fayetteville,309660.0
AR_ForrestCity,104674.0
AR_Greenwood,45136.0
AR_HotSprings,383865.0
AR_Jacksonville,190952.0
AR_Malvern,136471.0
AR_NorthLittleRock,192928.0
AR_PineBluff,278973.0
AR_Rogers,288802.0
AR_SiloamSprings,181243.0
AR_Springdale,231409.0
AR_Trumann,40789.0
AZ_ApacheJunction,313129.0
AZ_Avondale,324952.0
AZ_Benson,150262.0
AZ_CasaGrande,201897.0
AZ_CaveCreek,176662.0
AZ_ChinoValley,184906.0
AZ_Cottonwood,221477.0
AZ_Douglas,281303.0
AZ_Eagar,184113.0
AZ_ElMirage,183234.0
AZ_Florence,212600.0
AZ_Gilbert,396798.0
AZ_Glendale,437186.0
AZ_Goodyear,362948.0
AZ_Guadalupe,112818.0
AZ_Holbrook,95367.0
AZ_Kingman,203208.0
AZ_LakeHavasuCity,288633.0
AZ_Marana,265597.0
AZ_Mesa,916241.0
AZ_OroValley,380430.0
AZ_Peoria,560856.0
AZ_Phoenix,1081381.0
AZ_PinetopLakeside,180210.0
AZ_QueenCreek,317834.0
AZ_Sahuarita,283373.0
AZ_SanLuis,166099.0
AZ_Sedona,248901.0
AZ_Snowflake,96757.0
AZ_Superior,129647.0
AZ_Taylor,122642.0
AZ_Tempe,479852.0
AZ_Thatcher,163152.0
AZ_Tolleson,208269.0
AZ_Tucson,868176.0
AZ_Willcox,139939.0
AZ_Williams,138083.0
AZ_Winslow,175734.0
AZ_Youngtown,156300.0
AZ_Yuma,318267.0
CA_AgouraHills,290231.0
CA_Alhambra,529766.0
CA_AmericanCanyon,360651.0
CA_Anaheim,763553.0
CA_Anderson,281068.0
CA_Arcadia,681777.0
CA_ArroyoGrande,331597.0
CA_Avalon,252079.0
CA_Avenal,236068.0
CA_Bakersfield,404951.0
CA_BaldwinPark,309216.0
CA_Banning,396716.0
CA_Barstow,338942.0
CA_Beaumont,392388.0
CA_Belmont,336579.0
CA_Benicia,437341.0
CA_BeverlyHills,632517.0
CA_BigBearLake,462874.0
CA_Blythe,234916.0
CA_Brea,372966.0
CA_Brentwood,475628.0
CA_Buellton,283961.0
CA_Burlingame,371738.0
CA_Calabasas,347444.0
CA_Calistoga,263232.0
CA_Camarillo,394378.0
CA_Campbell,394389.0
CA_CanyonLake,147672.0
CA_Capitola,435485.0
CA_CarmelbytheSea,331825.0
CA_Carson,523159.0
CA_Ceres,312571.0
CA_Chico,582573.0
CA_Chino,498519.0
CA_ChinoHills,426787.0
CA_Chowchilla,307493.0
CA_Claremont,367187.0
CA_Coachella,488360.0
CA_Colton,469613.0
CA_Commerce,350998.0
CA_Compton,469620.0
CA_Corcoran,204676.0
CA_Corning,202249.0
CA_Corona,604039.0
CA_Coronado,359380.0
CA_CorteMadera,325776.0
CA_Covina,437929.0
CA_CrescentCity,355423.0
CA_DanaPoint,422146.0
CA_DelMar,300538.0
CA_Delano,426566.0
CA_Dublin,370484.0
CA_ElCajon,405199.0
CA_ElMonte,563511.0
CA_ElSegundo,375334.0
CA_Emeryville,436595.0
CA_Encinitas,344519.0
CA_Exeter,238009.0
CA_Farmersville,246512.0
CA_Folsom,446621.0
CA_Fortuna,199780.0
CA_FountainValley,330661.0
CA_Fremont,680021.0
CA_Fresno,862383.0
CA_Gardena,387277.0
CA_Glendora,495526.0
CA_Greenfield,295811.0
CA_Gridley,277428.0
CA_GroverBeach,225791.0
CA_Gustine,200973.0
CA_Hercules,324178.0
CA_HermosaBeach,380607.0
CA_Hesperia,366690.0
CA_Hillsborough,210860.0
CA_HuntingtonBeach,528283.0
CA_Huron,264222.0
CA_Irvine,684193.0
CA_Jackson,260953.0
CA_Kingsburg,238748.0
CA_LaCanadaFlintridge,306724.0
CA_LaHabra,399806.0
CA_LaHabraHeights,161640.0
CA_LaPalma,257069.0
CA_Lakeport,299629.0
CA_Lakewood,333509.0
CA_Lancaster,528742.0
CA_Larkspur,298186.0
CA_LemonGrove,344806.0
CA_Lincoln,261531.0
CA_LiveOak,278525.0
CA_Lodi,384076.0
CA_LomaLinda,292954.0
CA_LongBeach,1013295.0
CA_LosAlamitos,357689.0
CA_LosAngeles,1536913.0
CA_LosBanos,320032.0
CA_MammothLakes,344520.0
CA_Manteca,397244.0
CA_Martinez,336574.0
CA_McFarland,222099.0
CA_MenloPark,280150.0
CA_Merced,431715.0
CA_MillValley,271819.0
CA_Millbrae,327596.0
CA_Montclair,355702.0
CA_Montebello,371440.0
CA_MorganHill,452495.0
CA_MorroBay,308619.0
CA_NationalCity,421941.0
CA_Needles,16581.0
CA_Norco,439524.0
CA_Ojai,349632.0
CA_Orland,240934.0
CA_Oxnard,425955.0
CA_PalmDesert,457229.0
CA_Palmdale,552389.0
CA_PalosVerdesEstates,173889.0
CA_Paradise,240810.0
CA_Parlier,194012.0
CA_PicoRivera,439515.0
CA_Piedmont,191601.0
CA_Pinole,338600.0
CA_Pittsburg,425658.0
CA_Placerville,294049.0
CA_Pomona,484497.0
CA_PortHueneme,288771.0
CA_Porterville,433242.0
CA_PortolaValley,220998.0
CA_Poway,460409.0
CA_RanchoCordova,708569.0
CA_RanchoMirage,384703.0
CA_RanchoSantaMargarita,245518.0
CA_RedondoBeach,613556.0
CA_RedwoodCity,459814.0
CA_Reedley,302657.0
CA_Ripon,341296.0
CA_Riverside,662018.0
CA_Rocklin,287941.0
CA_RohnertPark,402598.0
CA_SanBuenaventura,768677.0
CA_SanClemente,570812.0
CA_SanDiego,1302939.0
CA_SanFernando,351653.0
CA_SanJose,1388290.0
CA_SanLeandro,579242.0
CA_SanLuisObispo,499578.0
CA_SanMarino,238392.0
CA_SanPablo,400679.0
CA_SanRamon,320882.0
CA_SantaAna,608314.0
CA_SantaClara,487555.0
CA_SantaMaria,408040.0
CA_SantaPaula,409526.0
CA_Santee,344427.0
CA_Sausalito,308331.0
CA_ScottsValley,306478.0
CA_SealBeach,392859.0
CA_Seaside,401744.0
CA_Selma,288450.0
CA_ShastaLake,243857.0
CA_SignalHill,445043.0
CA_SimiValley,446260.0
CA_SolanaBeach,377720.0
CA_Soledad,265617.0
CA_Sonoma,377135.0
CA_SouthPasadena,599185.0
CA_StHelena,338050.0
CA_Susanville,217179.0
CA_Tustin,334793.0
CA_Ukiah,394480.0
CA_Visalia,412988.0
CA_Vista,632226.0
CA_Waterford,342099.0
CA_Weed,187512.0
CA_WestSacramento,383373.0
CA_Whittier,427499.0
CA_Williams,247262.0
CA_Willows,182824.0
CA_Windsor,195914.0
CA_Woodlake,204136.0
CA_Woodside,207294.0
CA_YubaCity,324392.0
CA_Yucaipa,441435.0
CO_Alamosa,221129.0
CO_Arvada,874213.0
CO_Aurora,756929.0
CO_Basalt,246107.0
CO_Berthoud,201743.0
CO_Burlington,108110.0
CO_CanonCity,308069.0
CO_CherryHillsVillage,255724.0
CO_ColoradoSprings,667237.0
CO_Cortez,251917.0
CO_Denver,1399179.0
CO_Durango,548528.0
CO_Eagle,282305.0
CO_Englewood,426284.0
CO_Erie,323057.0
CO_EstesPark,185718.0
CO_Evans,280525.0
CO_FederalHeights,261781.0
CO_Florence,161428.0
CO_FortLupton,243020.0
CO_Fountain,298043.0
CO_Fruita,271369.0
CO_GlenwoodSprings,290780.0
CO_GreenwoodVillage,248135.0
CO_Gunnison,218563.0
CO_Gypsum,203428.0
CO_Johnstown,180931.0
CO_Lafayette,379040.0
CO_Lamar,157016.0
CO_Loveland,232414.0
CO_Milliken,304762.0
CO_MonteVista,175975.0
CO_Montrose,181948.0
CO_Northglenn,389718.0
CO_Palisade,254585.0
CO_Rifle,393807.0
CO_RockyFord,170496.0
CO_Sheridan,279923.0
CO_Silverthorne,261333.0
CO_Sterling,271175.0
CO_Superior,161216.0
CO_Thornton,569351.0
CO_Trinidad,219779.0
CO_Wellington,211319.0
CO_Westminster,431541.0
CO_WheatRidge,378947.0
CO_Windsor,275149.0
CO_Yuma,146651.0
CT_Ashford,69644.0
CT_Avon,156055.0
CT_Bethany,117743.0
CT_Bloomfield,206930.0
CT_Branford,190085.0
CT_Brookfield,174363.0
CT_Brooklyn,166489.0
CT_Burlington,82940.0
CT_Chester,60854.0
CT_Clinton,183085.0
CT_Colchester,133368.0
CT_Columbia,65144.0
CT_Coventry,163079.0
CT_Cromwell,182047.0
CT_Darien,218374.0
CT_Durham,142688.0
CT_EastHaddam,190260.0
CT_EastHampton,221874.0
CT_EastLyme,200346.0
CT_EastWindsor,63246.0
CT_Easton,125225.0
CT_Ellington,153499.0
CT_Enfield,180197.0
CT_Fairfield,122238.0
CT_Farmington,231483.0
CT_Glastonbury,246395.0
CT_Granby,138655.0
CT_Greenwich,343686.0
CT_Griswold,163481.0
CT_GrotonBorough,98671.0
CT_GrotonTown,228896.0
CT_Hamden,300867.0
CT_Harwinton,29056.0
CT_Hebron,133036.0
CT_Kent,80512.0
CT_Marlborough,139421.0
CT_MeridenCity,251900.0
