Location,Total_word_count
AK_Homer,234526.0
AL_Southside,172528.0
AL_Talladega,13487.0
AZ_Sahuarita,283382.0
CA_HuntingtonBeach,528326.0
CA_Santee,344466.0
CO_Burlington,108110.0
CO_RockyFord,170496.0
CT_Griswold,163481.0
CT_Harwinton,29056.0
FL_KeyWest,482013.0
FL_Rockledge,395116.0
GA_PeachtreeCity,415608.0
IL_CalumetCity,377768.0
IL_Cary,258845.0
IL_Justice,321075.0
IL_RoundLake,281010.0
KS_Derby,394351.0
KS_Leavenworth,286269.0
KY_Radcliff,168580.0
MA_Lexington,236789.0
MA_Paxton,93670.0
MA_Quincy,196648.0
MA_Sherborn,124061.0
MA_SouthHadley,234148.0
ME_Lisbon,286281.0
MI_Milan,330027.0
MI_Springfield,181317.0
MN_EastGrandForks,219375.0
MN_Wayzata,276082.0
MO_PoplarBluff,289570.0
MS_Canton,140262.0
MS_Philadelphia,14168.0
NC_Newton,269037.0
NC_Statesville,290528.0
NJ_EastOrange,440085.0
NJ_Hopewell,284486.0
NJ_Madison,349307.0
NJ_Plainsboro,260879.0
NY_RockvilleCentre,210160.0
OH_Kent,678017.0
OH_Plain,115870.0
OR_LincolnCity,329405.0
PA_Duquesne,74700.0
PA_LancasterTownship,231668.0
PA_WestWyoming,49105.0
SD_RapidCity,407689.0
TX_Abernathy,154015.0
TX_McAllen,365110.0
TX_Pasadena,447070.0
UT_SouthWeber,193765.0
VA_Franklin,222464.0
WA_Burien,424200.0
WA_Everett,720315.0
WA_NormandyPark,326142.0
WI_RiverFalls,277768.0
