Location,Total_word_count
AL_RainbowCity,50267.0
AZ_Taylor,122645.0
CA_Avalon,252079.0
CA_Hesperia,366690.0
CA_Parlier,194012.0
CA_Sausalito,308331.0
CO_MonteVista,175975.0
CT_Clinton,183085.0
CT_MeridenCity,251900.0
FL_JacksonvilleBeach,320833.0
FL_OaklandPark,415917.0
GA_Barnesville,73653.0
GA_Marietta,583189.0
IA_Dyersville,130212.0
IA_Muscatine,218672.0
ID_Nampa,295120.0
IL_OrlandHills,258559.0
KY_Shepherdsville,199480.0
MD_Hagerstown,314958.0
MD_Perryville,205931.0
MN_Chanhassen,223514.0
MN_EdenPrairie,239671.0
MN_Savage,194649.0
MS_HornLake,162769.0
NC_Davidson,262027.0
NC_Wadesboro,123856.0
NE_Gothenburg,163682.0
NH_Candia,95516.0
NH_Exeter,139603.0
NJ_CedarGrove,265246.0
NJ_WestWindsor,382656.0
NM_Socorro,128609.0
NY_Babylon,487581.0
NY_MassapequaPark,176332.0
OH_Cadiz,319610.0
OH_ForestPark,514958.0
OH_Sharonville,452822.0
OK_Woodward,181355.0
OR_Silverton,291100.0
PA_MiddletownTownshipDelaware,318289.0
PA_Salisbury,384757.0
PA_WestHanover,261019.0
SC_TravelersRest,153174.0
TN_Jackson,182338.0
TN_Lakeland,330113.0
TX_Fairview,308706.0
TX_IowaPark,157804.0
TX_Nederland,215860.0
TX_OakRidgeNorth,187963.0
TX_Rockdale,249791.0
UT_Alpine,199899.0
UT_Riverdale,209302.0
VT_Barre,125879.0
VT_Manchester,121481.0
WA_Lacey,544462.0
WA_Redmond,647881.0
WA_UniversityPlace,420067.0
WI_Germantown,267988.0
WI_Sparta,199228.0
