Location,Total_word_count
AL_Roanoke,18683.0
AZ_Florence,212600.0
CA_Calistoga,263232.0
CA_Camarillo,394378.0
CA_Colton,469613.0
CA_MillValley,271835.0
CA_MorroBay,308619.0
CA_Ripon,341320.0
CO_Erie,323057.0
CT_Ellington,153499.0
FL_MiamiBeach,692533.0
FL_Parkland,358569.0
FL_RivieraBeach,413961.0
IA_Urbandale,281934.0
IA_Winterset,103058.0
IL_Channahon,330111.0
IL_Sparta,196621.0
IL_Swansea,294654.0
IL_VillaPark,361105.0
IN_Anderson,378412.0
IN_Corydon,8460.0
KS_Marysville,189899.0
MA_Hopkinton,137100.0
MD_NorthEast,170316.0
ME_Lewiston,298633.0
ME_OldTown,133335.0
MI_Eastpointe,310525.0
MI_GrosseIle,295115.0
MI_YpsilantiTownship,275286.0
MN_Ramsey,273745.0
MN_Rosemount,246753.0
MN_StMarysPoint,139101.0
MO_Pagedale,174160.0
MO_Palmyra,173463.0
MO_Washington,360090.0
NC_Wilmington,396630.0
NJ_Aberdeen,272609.0
NJ_HoHoKus,255909.0
NJ_NorthBrunswick,444081.0
NM_BosqueFarms,151208.0
NV_Reno,595105.0
NY_Schenectady,394672.0
OH_Columbiana,505942.0
OH_MentorontheLake,522942.0
OK_Marlow,212004.0
OR_Tigard,307634.0
TX_Schertz,307773.0
UT_Layton,327371.0
WA_Bremerton,392505.0
WA_EastWenatchee,289262.0
WA_PortTownsend,444625.0
