Location,Total_word_count
AL_Trussville,239829.0
AZ_Avondale,324952.0
AZ_LakeHavasuCity,288644.0
AZ_Superior,129647.0
CA_CarmelbytheSea,331825.0
CA_FountainValley,330689.0
CA_Lincoln,261531.0
CT_Colchester,133368.0
GA_EastPoint,513009.0
GA_Milledgeville,206311.0
IL_Gurnee,326195.0
IL_Quincy,380815.0
IL_RockFalls,259029.0
IN_Mishawaka,283369.0
IN_NewAlbany,257283.0
IN_Rensselaer,156310.0
KS_Andover,340137.0
KY_Paducah,316790.0
LA_LakeCharles,372820.0
MA_Greenfield,204438.0
MA_Hingham,139225.0
MA_ManchesterbytheSea,111332.0
MA_Sutton,105280.0
MD_MountAiry,148044.0
ME_Buxton,76064.0
ME_Greene,57707.0
ME_Madawaska,73483.0
MI_Cadillac,225871.0
MN_FalconHeights,122664.0
MO_SainteGenevieve,248736.0
MS_Meridian,230169.0
NC_Greensboro,480084.0
NC_Spindale,24986.0
ND_DevilsLake,188795.0
NE_Cozad,228913.0
NH_Stratham,134596.0
NJ_Abescon,187715.0
NJ_Audubon,160385.0
NJ_Hillsdale,204191.0
NJ_Irvington,340355.0
NY_Larchmont,200936.0
OH_Warren,505887.0
PA_WestSadsbury,191871.0
RI_LittleCompton,172012.0
SC_Lexington,412835.0
SD_Aberdeen,228122.0
TN_Etowah,184856.0
TX_Bowie,186329.0
TX_Crandall,291779.0
TX_FlowerMound,555304.0
TX_Weslaco,274712.0
WI_Jackson,176025.0
WI_Whitewater,304010.0
WY_Cody,182356.0
