Location,Total_word_count
AL_Mobile,408965.0
AZ_CaveCreek,176671.0
AZ_ChinoValley,184908.0
CA_SimiValley,446260.0
CO_Palisade,254588.0
FL_IndianRiverShores,155870.0
FL_OrangeCity,311018.0
GA_VillaRica,322873.0
ID_BoiseCity,540158.0
IL_BurrRidge,337719.0
IL_Roselle,362056.0
IN_Avon,165456.0
IN_Crawfordsville,234297.0
IN_Portage,295331.0
KS_Newton,277191.0
KS_Wellington,257926.0
KY_BowlingGreen,388164.0
MA_Falmouth,200063.0
MD_Hampstead,108521.0
MI_MeridianTownship,267430.0
MI_Southfield,395948.0
MI_Vassar,156908.0
MN_Birchwood,92195.0
MN_CottageGrove,274342.0
MN_Watertown,215200.0
NC_BlackMountain,196988.0
NC_Durham,571241.0
NC_RockyMount,387330.0
NC_Wendell,189889.0
NE_Chadron,65992.0
NJ_Brielle,193086.0
NJ_Guttenberg,173017.0
NJ_Manasquan,220500.0
NY_ChestnutRidge,65432.0
NY_Irondequoit,284436.0
OH_Fairborn,520951.0
OH_Norwalk,404269.0
OH_Piqua,464560.0
OK_Enid,393891.0
OR_SweetHome,175504.0
PA_Bristol,422091.0
PA_Shaler,308549.0
PA_Swissvale,280413.0
PA_Uwchlan,301274.0
PA_WestGoshen,310662.0
TN_Clinton,119461.0
TX_Burleson,437889.0
TX_Cibolo,354318.0
UT_Ephraim,155433.0
WA_LakeStevens,341435.0
WI_Cady,188202.0
WI_Omro,279574.0
WI_Racine,530268.0
