Location,Total_word_count
AR_Jacksonville,190952.0
CA_AmericanCanyon,360724.0
CA_Barstow,338942.0
CA_Capitola,435485.0
CA_Corning,202249.0
CA_PortHueneme,288771.0
CO_Milliken,304762.0
CT_Bethany,117743.0
FL_LakeWales,459018.0
FL_Seminole,192499.0
IL_Carbondale,489873.0
IL_Galesburg,308823.0
IL_Westmont,407780.0
IN_Chesterton,177277.0
KS_Pittsburg,241254.0
ME_Dexter,155408.0
MN_InverGroveHeights,349534.0
MN_Minnetonka,254216.0
MN_Monticello,291053.0
MN_Mora,174534.0
MO_Buckner,241715.0
NJ_Paterson,436477.0
NY_Canandaigua,301172.0
NY_Rome,344028.0
OH_Brunswick,530125.0
OH_Madeira,412624.0
OH_SilverLake,365932.0
OR_Coquille,231513.0
OR_MyrtleCreek,192735.0
PA_Girard,150684.0
PA_MarcusHook,172305.0
PA_Selinsgrove,2481248.0
PA_Sunbury,141599.0
SC_BatesburgLeesville,144689.0
SD_Yankton,174007.0
TX_Bridgeport,236955.0
TX_CarrizoSprings,99532.0
UT_Roy,195652.0
UT_Tooele,314142.0
WI_Kronenwetter,216434.0
