Location,Total_word_count
AK_Palmer,231411.0
AL_Opp,141924.0
AR_Bentonville,147365.0
CA_Covina,438031.0
CO_Alamosa,221129.0
CO_EstesPark,185718.0
CT_Chester,60854.0
CT_Fairfield,122238.0
CT_Hebron,133036.0
CT_NorthStonington,167138.0
DE_Dover,302833.0
FL_LauderdalebytheSea,302057.0
FL_MadeiraBeach,214342.0
GA_Auburn,329153.0
GA_Griffin,371647.0
IA_OrangeCity,121598.0
IL_Bartlett,466781.0
IL_LaGrangePark,221458.0
IN_MountVernon,230816.0
MA_Belmont,108055.0
MA_Gloucester,314954.0
ME_Wilton,64648.0
MI_GrandBlancTownship,255632.0
MI_IronMountain,182343.0
MI_Lapeer,243362.0
MI_Northville,236745.0
MI_UnionTownship,181588.0
MN_Brainerd,327062.0
MN_LittleFalls,219656.0
MN_ParkRapids,158442.0
MO_PineLawn,199065.0
NC_Elizabethtown,208950.0
NC_Hudson,148787.0
NC_Whiteville,211826.0
NE_Blair,237817.0
NJ_EastGreenwich,254208.0
NJ_Lindenwold,212488.0
NJ_PineHill,219713.0
NJ_Rahway,313023.0
NV_LasVegas,713710.0
NY_Beacon,339262.0
NY_EastSyracuse,105911.0
OH_BayVillage,450965.0
OH_Twinsburg,513502.0
OK_Miami,200049.0
OR_Portland,1400745.0
PA_EastPikeland,373185.0
PA_Pine,359638.0
SC_Georgetown,186918.0
TN_Murfreesboro,481758.0
TX_Mansfield,326819.0
TX_Richmond,430258.0
TX_Vernon,146533.0
VT_Richmond,82626.0
WI_Mayville,178422.0
WI_Onalaska,352740.0
