Location,Total_word_count
AZ_Glendale,437186.0
AZ_SanLuis,166103.0
CA_Belmont,336579.0
CA_Coronado,359380.0
CA_Dublin,370499.0
CA_GroverBeach,225791.0
CT_EastWindsor,63246.0
CT_Plainville,201639.0
FL_PinellasPark,387214.0
FL_Springfield,143724.0
GA_Decatur,281897.0
IA_Tipton,125036.0
ID_Orofino,128378.0
IL_Dwight,100967.0
IN_Auburn,348862.0
IN_Decatur,169027.0
KS_Lawrence,619796.0
KS_RoelandPark,309366.0
KY_CrestviewHills,275888.0
MA_Adams,89305.0
MI_Brighton,273156.0
MI_Buchanan,188803.0
MI_RochesterHills,414980.0
MI_Wyoming,335473.0
MN_StCloud,365458.0
MO_Fenton,293764.0
MO_Glendale,217446.0
MO_Rolla,393640.0
NC_BoilingSpringLakes,242479.0
NH_Litchfield,112569.0
NJ_EnglewoodCliffs,206299.0
NJ_JerseyCity,590673.0
NJ_SouthRiver,333401.0
NY_Lawrence,150571.0
NY_MamaroneckTown,222287.0
NY_Waverly,116495.0
OH_Aurora,526375.0
OH_Greenville,351133.0
OH_Minster,436033.0
OH_NewCarlisle,529308.0
OK_Perry,264487.0
PA_BethelPark,278788.0
PA_Lewisburg,208696.0
PA_Manchester,307354.0
PA_Wormleysburg,98978.0
TX_Atlanta,150820.0
TX_Gonzales,218447.0
TX_MarbleFalls,365114.0
TX_Pflugerville,339620.0
VA_Herndon,399191.0
VT_Hardwick,43199.0
WA_Chelan,301580.0
WI_Hartland,245198.0
WI_LakeMills,327573.0
WI_MukwonagoTown,173373.0
WY_Rawlins,217486.0
