Location,Total_word_count
AZ_Thatcher,163152.0
CA_Chino,498519.0
CA_Folsom,446621.0
CA_RanchoCordova,708569.0
CA_Reedley,302657.0
CA_YubaCity,324392.0
CT_Waterford,252292.0
FL_Hialeah,420724.0
FL_PompanoBeach,657014.0
GA_UnionCity,362645.0
IA_Vinton,136554.0
IL_Belvidere,434628.0
IL_Inverness,258582.0
IL_WestPeoria,155750.0
KS_Coffeyville,184152.0
KS_Goodland,250605.0
KS_Louisburg,197927.0
MA_Stow,126312.0
ME_Sanford,256382.0
MI_TraverseCity,291955.0
MN_GemLake,397707.0
MN_GoldenValley,216374.0
MN_LakeStCroixBeach,180390.0
MN_Otsego,345759.0
MN_Plainview,117348.0
MO_StCharles,499344.0
NC_Goldsboro,332225.0
NH_Farmington,104527.0
NJ_SouthBoundBrook,165701.0
OH_Anderson,75207.0
OH_Enon,276943.0
OH_Willard,466037.0
OR_Aumsville,91065.0
OR_Cornelius,206291.0
OR_WoodVillage,253782.0
PA_Aston,71621.0
PA_Franklin,229053.0
PA_Towamencin,316419.0
SC_Liberty,116287.0
SD_Sisseton,123848.0
TX_Abilene,354835.0
TX_Colleyville,408020.0
VA_BuenaVista,295105.0
VA_VirginiaBeach,553257.0
WI_ElmGrove,217206.0
WI_OakCreek,331655.0
