Location,Total_word_count
AL_Guntersville,206174.0
AR_Conway,291100.0
CA_LosAngeles,1536926.0
CO_Florence,161428.0
CO_Montrose,181948.0
IA_Harlan,172631.0
IL_Bloomington,599866.0
IL_CarolStream,360673.0
IL_Countryside,369797.0
IL_Hillside,296091.0
IL_Wilmette,359072.0
IN_Attica,118107.0
IN_Noblesville,378866.0
MA_Pepperell,121880.0
MA_Sunderland,82310.0
MA_Swampscott,108356.0
MA_Wilmington,119043.0
ME_Newport,54885.0
MI_GreenOak,295516.0
MI_SterlingHeights,497682.0
MN_ElkRiver,288186.0
MN_HamLake,138779.0
MO_GrainValley,257366.0
MO_Marshall,197084.0
MS_Jackson,338909.0
NC_Elkin,173387.0
ND_Mandan,271956.0
NH_Hudson,138439.0
NJ_Lakewood,428435.0
NY_Kenmore,145328.0
OH_Eastlake,543335.0
OR_Veneta,250814.0
PA_Altoona,361371.0
PA_Catasauqua,285785.0
PA_FountainHill,179362.0
PA_Kingston,255011.0
PA_Tamaqua,269751.0
SC_NorthAugusta,384923.0
TX_Keller,413707.0
TX_LeonValley,288616.0
TX_PortNeches,221780.0
TX_WillsPoint,139716.0
TX_Yoakum,114390.0
UT_Midvale,571699.0
VA_Charlottesville,413046.0
VT_BarreCity,188147.0
VT_Shelburne,148229.0
WA_Ephrata,311219.0
WA_MercerIsland,317063.0
WV_Charleston,432872.0
