Location,Total_word_count
AK_Sitka,258958.0
CA_LaPalma,257069.0
CT_Branford,190085.0
CT_Burlington,82940.0
CT_Windsor,243728.0
CT_Woodstock,124844.0
FL_StAugustine,466651.0
FL_Weston,287995.0
GA_HollySprings,306231.0
IA_Carlisle,136390.0
IA_MasonCity,248554.0
IL_Brookfield,464840.0
IL_Colona,200323.0
IL_Lincolnshire,383473.0
IL_Palatine,322213.0
IN_Frankfort,224033.0
IN_Greendale,110808.0
IN_Indianapolis,802025.0
LA_Arcadia,98476.0
LA_Kenner,316902.0
MA_Holyoke,312593.0
MA_Peabody,214964.0
MA_Southbridge,110200.0
ME_Auburn,263744.0
MN_Burnsville,299595.0
MN_Cokato,119877.0
MN_Minnetrista,197693.0
MN_NewHope,302835.0
MN_VadnaisHeights,174018.0
MO_Centralia,313431.0
MO_Lebanon,262997.0
MO_Ozark,271328.0
MS_Biloxi,374163.0
MS_Clarksdale,196692.0
NJ_Freehold,388506.0
NJ_GlenRidge,206849.0
NJ_Hammonton,311063.0
NJ_Sparta,279090.0
NJ_Trenton,322481.0
NJ_Westampton,181226.0
NY_Ardsley,192404.0
NY_Brightwaters,81295.0
NY_Lakewood,38321.0
OH_Amberley,393469.0
OH_Delphos,376689.0
OH_Springboro,464507.0
OK_Stillwater,327610.0
PA_DarbyTownship,164640.0
PA_Lancaster,419987.0
PA_Patton,269034.0
PA_Sharon,259178.0
RI_Providence,519356.0
TX_SouthHouston,262819.0
TX_Wylie,424845.0
UT_Blanding,91413.0
WI_Pewaukee,361465.0
