Location,Total_word_count
AL_Monroeville,198254.0
AL_VestaviaHills,192935.0
CA_ArroyoGrande,331597.0
CA_LosAlamitos,357728.0
CA_Poway,460409.0
CA_RanchoMirage,384719.0
CT_Naugatuck,170199.0
CT_Vernon,144933.0
FL_PalmBay,437224.0
FL_WinterPark,514521.0
IA_MountVernon,191058.0
MA_Needham,148405.0
ME_Caribou,197828.0
MI_Algonac,161029.0
MI_StClair,213207.0
MN_LakeElmo,270272.0
MN_Shakopee,277029.0
MO_Florissant,368722.0
MO_Odessa,193245.0
NC_Aberdeen,216184.0
NC_Fayetteville,461195.0
ND_Minot,340498.0
NE_Wahoo,232452.0
NH_Nashua,384847.0
NJ_Closter,293894.0
NJ_Waldwick,198037.0
NY_Islip,569897.0
NY_Warsaw,128261.0
OH_Parma,755325.0
OK_Clinton,158607.0
PA_Arnold,36818.0
PA_Bradford,260380.0
PA_UpperProvidence,295079.0
PA_Wilson,171398.0
TN_Cookeville,313409.0
TX_Center,46393.0
UT_SpanishFork,187767.0
UT_WestValley,338431.0
UT_WoodsCross,229224.0
VA_Christiansburg,206030.0
VA_Harrisonburg,289407.0
WA_Auburn,551060.0
WA_Seattle,2002228.0
WI_BeloitTown,236212.0
WI_Reedsburg,240044.0
WI_Shorewood,259053.0
WI_Wausau,436385.0
