Location,Total_word_count
AL_Madison,291821.0
AR_Clarksville,107554.0
CA_Lodi,384076.0
CA_Needles,16581.0
CA_Pittsburg,425658.0
CA_Riverside,662018.0
CO_Fountain,298043.0
CO_Westminster,431541.0
CT_Hamden,300871.0
CT_Woodbury,154495.0
FL_Pahokee,247918.0
GA_Newnan,460914.0
IA_NorthLiberty,218505.0
ID_Meridian,278834.0
IL_Itasca,304919.0
IL_ProspectHeights,348971.0
IL_Schaumburg,655575.0
IN_Bremen,26156.0
IN_Shelbyville,240974.0
KY_Columbia,55656.0
LA_AmiteCity,109406.0
LA_Jonesboro,99323.0
MA_Belchertown,164009.0
MA_Ludlow,120691.0
MI_Ferrysburg,200287.0
MI_Troy,408987.0
MN_Plymouth,354055.0
MO_Maplewood,256480.0
MO_Warrensburg,360010.0
MS_Gulfport,401801.0
NJ_Pleasantville,315276.0
NY_ColonieVillage,151597.0
OH_Fairlawn,553931.0
OH_Louisville,438217.0
OH_Middletown,613490.0
OK_Mustang,312941.0
OK_Skiatook,197170.0
OR_Boardman,167333.0
OR_Medford,384331.0
OR_Pendleton,388379.0
OR_Sandy,241536.0
PA_Coraopolis,99376.0
PA_Lititz,343903.0
PA_MiddletownTownshipBucks,370142.0
PA_OilCity,211885.0
SC_Beaufort,264772.0
SC_PortRoyal,206429.0
TN_Erwin,178772.0
UT_AmericanFork,366891.0
VT_Barton,26956.0
WA_Forks,163714.0
WI_GrandChute,241998.0
WI_GreenBay,334708.0
WI_Tomah,169456.0
