Location,Total_word_count
AK_Yakutat,155766.0
AZ_Mesa,916241.0
CA_Bakersfield,404960.0
CA_Banning,396716.0
CA_DanaPoint,422197.0
DE_Elsmere,169550.0
FL_Palmetto,293035.0
GA_Cuthbert,27698.0
IA_DesMoines,1067764.0
IL_Lombard,424209.0
IL_Zion,360757.0
MA_Concord,124326.0
MA_Weymouth,172222.0
MI_Sandusky,188317.0
MN_MountainIron,119788.0
MN_Robbinsdale,285092.0
MT_Shelby,159514.0
NC_HopeMills,215689.0
ND_Bismarck,352888.0
NH_Amherst,105694.0
NH_NewBoston,84429.0
NJ_Edgewater,259036.0
NJ_NationalPark,13803.0
NJ_SpringLake,217416.0
NM_Farmington,456369.0
NY_Fairport,130735.0
NY_Freeport,380488.0
NY_LloydHarbor,123706.0
NY_Sherrill,31706.0
OH_Cincinnati,1004556.0
OH_Lakewood,582059.0
OH_Lima,547516.0
OH_PortClinton,405313.0
OH_Sylvania,467791.0
OH_Washington,413115.0
OK_Yukon,269140.0
OR_Gladstone,229377.0
PA_Avalon,169850.0
PA_Coatesville,363132.0
PA_Coopersburg,139455.0
PA_Coplay,262624.0
PA_Cumru,263701.0
PA_Richland,210033.0
PA_Susquehanna,282240.0
SC_Columbia,297988.0
WI_Brodhead,321928.0
WI_Mauston,202914.0
WI_Menasha,347420.0
WI_Rothschild,173630.0
WV_Hurricane,254948.0
