Location,Total_word_count
AL_Eufaula,142137.0
AZ_Guadalupe,112818.0
AZ_Tolleson,208269.0
AZ_Yuma,318274.0
CA_Anaheim,763690.0
CA_Buellton,283998.0
CA_DelMar,300538.0
CA_PortolaValley,220998.0
CA_RanchoSantaMargarita,245518.0
CA_SealBeach,392881.0
FL_NorthMiamiBeach,358407.0
FL_StCloud,335346.0
GA_Eastman,110586.0
GA_Fairburn,341919.0
GA_Washington,191923.0
ID_Lewiston,274961.0
IL_Pinckneyville,161207.0
IL_RockIsland,354902.0
IL_Willowbrook,341074.0
IN_Brownstown,44231.0
IN_Cumberland,184665.0
IN_Dyer,217494.0
KS_PrairieVillage,301528.0
KY_Erlanger,237646.0
MA_Boston,1025862.0
MA_Dedham,118408.0
MA_Hamilton,96176.0
MA_Nantucket,171341.0
MA_OakBluffs,84514.0
MD_Baltimore,1100167.0
MI_Genoa,169652.0
MI_PortHuron,257061.0
MN_Hutchinson,268918.0
MN_Rockford,182597.0
NC_Wilkesboro,221348.0
NH_Portsmouth,245852.0
NJ_Stratford,182075.0
NY_Amherst,333452.0
NY_Bronxville,173197.0
NY_Huntington,697089.0
OH_Lordstown,338040.0
OH_MiamiTownshipClermont,59442.0
OR_MiltonFreewater,147381.0
PA_Blakely,103143.0
PA_EastGreenville,189068.0
PA_Harris,178994.0
PA_NewHolland,255068.0
PA_Stroudsburg,224177.0
TX_BigLake,94504.0
TX_Frisco,590507.0
TX_RoundRock,415795.0
TX_TexasCity,265715.0
UT_Providence,182556.0
VT_Newport,35366.0
WI_Brookfield,312896.0
WV_Hinton,92714.0
