Location,Total_word_count
AZ_CasaGrande,201897.0
CA_Carson,523159.0
CA_Fortuna,199792.0
CA_SignalHill,445080.0
CO_Trinidad,219779.0
FL_Gainesville,593783.0
GA_Atlanta,1662204.0
GA_Columbus,754645.0
IA_Creston,154447.0
ID_AmericanFalls,99056.0
ID_Ammon,128408.0
IL_Geneseo,210889.0
IL_Normal,504629.0
IN_Brownsburg,297509.0
IN_Kokomo,351988.0
KS_ParkCity,282225.0
MA_Fairhaven,156915.0
MA_Medford,171662.0
MI_Coldwater,220293.0
MN_NewBrighton,231598.0
MN_NorthBranch,196789.0
MN_NorthMankato,195153.0
MN_Princeton,234426.0
MO_Perryville,278276.0
NC_Weddington,159772.0
NH_Atkinson,75534.0
NH_Bedford,117529.0
NH_Haverhill,61512.0
NJ_Florence,280925.0
NJ_LongBranch,351086.0
NM_Española,179852.0
OH_Springfield,561257.0
OH_Tallmadge,445108.0
PA_Dallastown,96153.0
PA_Hanover,269838.0
SC_Greer,262953.0
TN_Lebanon,257011.0
TX_Bulverde,239487.0
TX_ForestHill,289989.0
TX_FortWorth,1114689.0
TX_LakeJackson,308812.0
UT_Murray,360835.0
UT_Ogden,581311.0
WA_Sumner,392526.0
WI_DeForest,269048.0
WI_EllsworthVillage,152138.0
