Location,Total_word_count
AR_HotSprings,383865.0
CA_BaldwinPark,309256.0
CA_Blythe,234916.0
CA_Irvine,684193.0
CA_MammothLakes,344520.0
CT_Enfield,180197.0
FL_DeBary,316136.0
FL_MiamiSprings,325076.0
GA_Rockmart,253695.0
HI_Honolulu,792477.0
IA_Hiawatha,217873.0
IA_Marshalltown,260576.0
ID_Shelley,120459.0
IL_Deerfield,345699.0
IL_Grayslake,341582.0
IL_HanoverPark,437234.0
IL_Hometown,216097.0
IL_Lisle,324385.0
IN_SouthBend,487396.0
IN_Warsaw,194127.0
KS_GardenCity,259858.0
KS_Larned,164606.0
KY_Campbellsville,141370.0
MD_Brentwood,759371.0
MO_OFallon,437714.0
MO_Wentzville,430631.0
NH_Milton,81843.0
NH_Newmarket,160420.0
NJ_Passaic,367378.0
NJ_Waterford,297901.0
NY_Penfield,178970.0
OH_StClairsville,345945.0
OH_UpperArlington,439567.0
OK_Bristow,231203.0
PA_Perkasie,248248.0
PA_Radnor,352511.0
RI_Portsmouth,217065.0
RI_Scituate,98927.0
SC_Charleston,400158.0
TN_ForestHills,88871.0
TX_ElPaso,864599.0
TX_Jacksboro,183483.0
TX_RichlandHills,382465.0
TX_Waxahachie,369711.0
UT_PleasantGrove,372528.0
VA_Staunton,269009.0
VT_RutlandTown,96503.0
WI_Marshfield,304140.0
WI_Medford,145878.0
