Location,Total_word_count
AZ_OroValley,380438.0
CO_Sheridan,279923.0
FL_StPetersburg,707040.0
GA_SocialCircle,247847.0
IA_Carroll,168427.0
IA_CharlesCity,184625.0
IA_Garner,17751.0
IL_Moline,591657.0
IN_Chandler,149336.0
MA_Abington,85116.0
MA_Maynard,145648.0
MD_Chestertown,180209.0
MD_Greenbelt,891933.0
ME_Turner,106305.0
MI_Marshall,209211.0
MI_SpringLakeVillage,166338.0
MN_Delano,223654.0
MN_RedWing,294114.0
MO_Boonville,252378.0
MT_Lewistown,194827.0
NE_Sidney,221320.0
NJ_Orange,417851.0
NY_Buffalo,673173.0
NY_Hudson,257839.0
NY_Lindenhurst,176286.0
NY_Oswego,277456.0
OH_Miamisburg,600710.0
OH_Oxford,488723.0
OH_Pierce,61876.0
OH_WestCarrollton,473337.0
PA_WestHazleton,95778.0
SD_Lead,89553.0
TX_Helotes,184801.0
TX_Sinton,162946.0
UT_SouthJordan,301398.0
VA_Hillsville,120743.0
WA_Vancouver,693427.0
WI_DePere,285737.0
WI_Portage,283238.0
WI_Prescott,323159.0
WI_Waunakee,309303.0
