Location,Total_word_count
CA_Pinole,338623.0
CA_SanDiego,1302939.0
CA_SouthPasadena,599229.0
CA_Woodlake,204136.0
FL_Brooksville,289732.0
FL_Casselberry,480123.0
GA_Jonesboro,314002.0
IA_Belmond,118448.0
ID_MountainHome,183356.0
IL_DeerPark,237762.0
MA_Barre,93490.0
ME_Kennebunk,245072.0
MI_Warren,453137.0
MN_Wadena,144980.0
MO_BlueSprings,384870.0
MT_Havre,93028.0
NC_Eden,282059.0
NC_Fairmont,167742.0
NJ_Allendale,239347.0
NJ_Merchantville,175658.0
NJ_Newark,814572.0
NJ_SouthBrunswick,459995.0
NY_Fallsburg,227681.0
NY_NewRochelle,490252.0
NY_Rye,323620.0
NY_SleepyHollow,273426.0
NY_Smithtown,371395.0
OH_Kirtland,497746.0
OH_Willoughby,522126.0
OK_Harrah,232710.0
OK_Moore,347726.0
OR_Beaverton,394969.0
OR_Toledo,160457.0
PA_Edwardsville,65982.0
PA_Glenolden,167897.0
PA_Hermitage,306186.0
PA_Taylor,104567.0
PA_WestNottingham,152201.0
PA_WilkesBarre,342297.0
RI_EastGreenwich,237260.0
RI_EastProvidence,420062.0
TX_Brownwood,221927.0
TX_Floresville,117886.0
UT_WestJordan,432198.0
VT_Colchester,208486.0
WA_Burlington,321942.0
WA_LibertyLake,308090.0
WI_SunPrairie,460186.0
