Location,Total_word_count
AZ_Douglas,281303.0
CA_Claremont,367205.0
CA_ElMonte,563511.0
CA_Farmersville,246512.0
CO_Durango,548528.0
CO_Evans,280525.0
CO_Sterling,271175.0
CT_Avon,156055.0
CT_SouthWindsor,237556.0
DE_Smyrna,299513.0
FL_PalmCoast,405790.0
GA_Austell,283838.0
GA_Duluth,393474.0
IA_Glenwood,162362.0
ID_Salmon,144648.0
KS_Fairway,208019.0
MA_Reading,243449.0
MA_Wellesley,162066.0
MA_Westfield,278614.0
MD_Elkton,116691.0
ME_Farmington,122659.0
MI_Fowlerville,209883.0
MI_Gladstone,133238.0
MI_SouthLyon,229612.0
MN_Champlin,200342.0
MN_Fridley,511011.0
MO_Butler,242162.0
MO_Webb,261216.0
NH_Merrimack,162701.0
NH_Rochester,178679.0
NJ_Lawrence,338483.0
OH_Lodi,91789.0
OH_Solon,598934.0
OK_Ardmore,359265.0
PA_BeaverFalls,37800.0
PA_Edinboro,214541.0
PA_Fleetwood,53809.0
PA_StMarys,335163.0
RI_Exeter,205245.0
RI_WestWarwick,313908.0
SD_Canton,132013.0
SD_Mobridge,133612.0
TN_Maryville,258380.0
TN_MountJuliet,342744.0
TX_Anthony,121129.0
TX_Freeport,242703.0
TX_Houston,1061961.0
TX_Mesquite,475057.0
TX_Plainview,238172.0
TX_Rockport,269532.0
TX_Tomball,308602.0
WA_Sammamish,389650.0
WI_Chilton,135500.0
WI_Delafield,238490.0
WI_Hartford,277052.0
WV_Morgantown,438494.0
