Location,Total_word_count
AZ_Peoria,560856.0
CA_NationalCity,421941.0
CA_Ojai,349530.0
CA_PalmDesert,457287.0
CT_EastHaddam,190260.0
FL_Auburndale,249548.0
FL_Miramar,513110.0
FL_TempleTerrace,336242.0
IL_Clinton,164470.0
IL_Hinsdale,372641.0
IL_Marion,191202.0
IL_Morrison,214283.0
IL_Plainfield,338455.0
IL_TinleyPark,514069.0
IN_Evansville,390104.0
KS_Beloit,191722.0
KY_Springfield,24286.0
MA_Marshfield,205496.0
MI_Owosso,253748.0
MI_Utica,192353.0
MN_ElkoNewMarket,252636.0
MN_Waseca,197759.0
MO_Republic,283901.0
MO_Warrenton,267724.0
NC_FuquayVarina,395673.0
NC_Williamston,137273.0
NH_Seabrook,44219.0
NJ_FlorhamPark,272119.0
NJ_Moonachie,180536.0
NY_Depew,150622.0
NY_GreatNeckEstates,211488.0
NY_Palmyra,106603.0
NY_WhitePlains,519599.0
OH_Berea,526280.0
OH_ShakerHeights,479289.0
OH_Trenton,497843.0
OR_Albany,441268.0
PA_EastNorriton,285165.0
PA_Munhall,193876.0
PA_Tarentum,156092.0
PA_UpperStClair,339141.0
RI_Glocester,181087.0
SC_GooseCreek,166218.0
SD_Brookings,213273.0
TN_Newport,166678.0
TX_Austin,1027017.0
TX_Denison,430299.0
TX_HighlandPark,225857.0
TX_MeadowsPlace,151849.0
TX_UniversityPark,230187.0
VT_StAlbans,158127.0
WI_Weston,374826.0
