Location,Total_word_count
AR_NorthLittleRock,192928.0
AZ_Eagar,184113.0
AZ_PinetopLakeside,180222.0
CA_McFarland,222099.0
CA_SanBuenaventura,768677.0
CA_SantaClara,487555.0
CA_Susanville,217210.0
CT_Monroe,188190.0
CT_Plymouth,150445.0
FL_Maitland,311954.0
FL_Sebastian,334101.0
FL_Tampa,815614.0
FL_VeroBeach,344318.0
GA_SugarHill,349448.0
IA_Camanche,134388.0
IL_Eureka,176299.0
KS_Sterling,201423.0
KY_Henderson,261150.0
KY_MountSterling,24766.0
KY_Russellville,174493.0
ME_NewGloucester,108037.0
ME_Thomaston,142622.0
MI_GrandBlanc,203729.0
MI_OaklandTownship,236403.0
MN_Albertville,278611.0
MN_Lakeville,330265.0
MN_StPaulPark,185630.0
MO_Brentwood,307850.0
MO_NorthKansasCity,340482.0
NJ_EastBrunswick,394784.0
OH_Delhi,54279.0
OH_Medina,464960.0
OH_Wintersville,316092.0
OR_Fairview,258949.0
OR_Umatilla,193960.0
PA_Highspire,172461.0
PA_Warrington,319481.0
TN_Cleveland,282120.0
TX_CastleHills,139463.0
TX_CedarPark,301790.0
TX_HarkerHeights,305421.0
TX_Henderson,267978.0
TX_Longview,370971.0
UT_SaltLakeCity,875480.0
UT_StGeorge,330810.0
VA_Abindgdon,204382.0
VA_ManassasPark,286233.0
VT_Windsor,135315.0
WA_Covington,384735.0
WA_Raymond,189322.0
WI_Janesville,399915.0
WI_PleasantPrairie,482640.0
WY_Douglas,312703.0
